Corporation,project_code,j_name,lat,long,footpath,refuge_islands,signals,cctv,vehicular_light,lane_marking,pedestrian_crossing,median_island,table_top,landscape,cat_eyes,traffic_police_chowk,street_furniture,median,pavers,tactile_pavers,rumble_strips,pedestrian_light,signage,pelican_signals,bus_stop_shifting,autobays,cycle_track,pickup_dropoff,pedestrian_only_zone,tree_pits,bollards,j_code,road_hierarchy,theme,overlapping theme,budget
South,J63,RV Road - 36th cross Road Junction,12.92348,77.5802,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,J-A440,ARTERIAL,Safe Corridor,,"70,00,000"
South,J64,RV Road - New Diagonal Road,12.92726,77.58014,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,PI-S-021,ARTERIAL,Safe Corridor,,"6,00,000"
South,J65,RV Road - 27th cross Road Junction,12.93082,77.5803,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,PI-S-022,ARTERIAL,School,School | Commercial | Transit,"50,000"
South,J66,RV Road - 22nd cross Road Junction,12.93302,77.58015,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,J-A461,ARTERIAL,Safe Corridor,,"2,00,00,000"
South,J67,Sony World Signal,12.93727,77.62699,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,J-A499,ARTERIAL,Commercial ,Commercial ,"20,00,000"
South,J68,Ganapati Temple Road - Srinivagilu Main Road Junction,12.94257,77.62279,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,J-A506,ARTERIAL,Commercial ,Commercial ,"70,00,000"
South,J69,Srinivagilu Main Road Junction,12.94606,77.61863,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-023,SUB_ARTERIAL,School,School,"6,00,000"
South,J70,Hosur road - Maggamannapalya Road,12.90635,77.62971,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,PI-S-024,ARTERIAL,School,School | Commercial ,"50,000"
South,J71,Jamia masjid road - Dr Rajkumar road junction,12.90802,77.57079,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,PI-S-025,SUB_ARTERIAL,School,School,"2,00,00,000"
South,J72,Madivala Junction,12.92123,77.62029,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,J-A483,ARTERIAL,School,School | Commercial | Safe Corridor,"20,00,000"
South,J73,Krupanidhi college Junction,12.92424,77.62879,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,PI-S-026,ARTERIAL,School,School | Commercial | Safe Corridor,"70,00,000"
South,J74,Kormanagala water tank signal,12.92762,77.621,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,J-A500,ARTERIAL,None,Safe Corridor,"6,00,000"
South,J75,St Johns,12.92973,77.61526,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,PI-S-027,SUB_ARTERIAL,School,,"50,000"
South,J76,Uttarahalli Circle,12.90579,77.54272,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,J-A399,ARTERIAL,School,School,"2,00,00,000"
South,J77,KSIT Junction,12.8796,77.54589,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,J-A421,ARTERIAL,School,School | Commercial ,"20,00,000"
South,J78,Dr Vishnuvardan Road Junction,12.89338,77.52179,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-028,SUB_ARTERIAL,School,,"70,00,000"
South,J79,Kenchenahalli Main Road Junction,12.90411,77.51246,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-029,SUB_ARTERIAL,Transit,,"6,00,000"
South,J80,Gottigere NICE Road Junction,12.85284,77.58845,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-030,SUB_ARTERIAL,Transit,,"50,000"
South,J81,Gottigere Bannerghatta Main Road,12.85747,77.58896,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-031,ARTERIAL,School,,"2,00,00,000"
